slot,user_id,traffic_type,arrivals_bits,delivered_bits,capacity_bits,buffer_bits,sinr_linear,rbg_count
6,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
6,1,URLLC,883.0,883.0,466140.82221938553,0.0,459065516.66790885,3
6,2,mMTC,469.0,469.0,420777.7362791648,0.0,65907271.80327702,3
6,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
6,4,URLLC,873.0,873.0,548502.0179661575,0.0,15571072400.887222,3
6,5,mMTC,420.0,420.0,288479.4971601925,0.0,109857988.36116448,2
7,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
7,1,URLLC,918.0,918.0,466140.82221938553,0.0,459065516.66790885,3
7,2,mMTC,459.0,459.0,420777.7362791648,0.0,65907271.80327702,3
7,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
7,4,URLLC,918.0,918.0,548502.0179661575,0.0,15571072400.887222,3
7,5,mMTC,438.0,438.0,288479.4971601925,0.0,109857988.36116448,2
8,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
8,1,URLLC,930.0,930.0,466140.82221938553,0.0,459065516.66790885,3
8,2,mMTC,436.0,436.0,420777.7362791648,0.0,65907271.80327702,3
8,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
8,4,URLLC,876.0,876.0,548502.0179661575,0.0,15571072400.887222,3
8,5,mMTC,461.0,461.0,288479.4971601925,0.0,109857988.36116448,2
9,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
9,1,URLLC,935.0,935.0,466140.82221938553,0.0,459065516.66790885,3
9,2,mMTC,417.0,417.0,420777.7362791648,0.0,65907271.80327702,3
9,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
9,4,URLLC,917.0,917.0,548502.0179661575,0.0,15571072400.887222,3
9,5,mMTC,464.0,464.0,288479.4971601925,0.0,109857988.36116448,2
10,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
10,1,URLLC,895.0,895.0,466140.82221938553,0.0,459065516.66790885,3
10,2,mMTC,435.0,435.0,420777.7362791648,0.0,65907271.80327702,3
10,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
10,4,URLLC,940.0,940.0,548502.0179661575,0.0,15571072400.887222,3
10,5,mMTC,441.0,441.0,288479.4971601925,0.0,109857988.36116448,2
11,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
11,1,URLLC,868.0,868.0,466140.82221938553,0.0,459065516.66790885,3
11,2,mMTC,433.0,433.0,420777.7362791648,0.0,65907271.80327702,3
11,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
11,4,URLLC,948.0,948.0,548502.0179661575,0.0,15571072400.887222,3
11,5,mMTC,455.0,455.0,288479.4971601925,0.0,109857988.36116448,2
12,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
12,1,URLLC,922.0,922.0,466140.82221938553,0.0,459065516.66790885,3
12,2,mMTC,477.0,477.0,420777.7362791648,0.0,65907271.80327702,3
12,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
12,4,URLLC,922.0,922.0,548502.0179661575,0.0,15571072400.887222,3
12,5,mMTC,435.0,435.0,288479.4971601925,0.0,109857988.36116448,2
13,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
13,1,URLLC,868.0,868.0,466140.82221938553,0.0,459065516.66790885,3
13,2,mMTC,468.0,468.0,420777.7362791648,0.0,65907271.80327702,3
13,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
13,4,URLLC,886.0,886.0,548502.0179661575,0.0,15571072400.887222,3
13,5,mMTC,417.0,417.0,288479.4971601925,0.0,109857988.36116448,2
14,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
14,1,URLLC,955.0,955.0,466140.82221938553,0.0,459065516.66790885,3
14,2,mMTC,447.0,447.0,420777.7362791648,0.0,65907271.80327702,3
14,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
14,4,URLLC,881.0,881.0,548502.0179661575,0.0,15571072400.887222,3
14,5,mMTC,503.0,503.0,288479.4971601925,0.0,109857988.36116448,2
15,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
15,1,URLLC,893.0,893.0,466140.82221938553,0.0,459065516.66790885,3
15,2,mMTC,433.0,433.0,420777.7362791648,0.0,65907271.80327702,3
15,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
15,4,URLLC,902.0,902.0,548502.0179661575,0.0,15571072400.887222,3
15,5,mMTC,399.0,399.0,288479.4971601925,0.0,109857988.36116448,2
16,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
16,1,URLLC,940.0,940.0,466140.82221938553,0.0,459065516.66790885,3
16,2,mMTC,421.0,421.0,420777.7362791648,0.0,65907271.80327702,3
16,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
16,4,URLLC,908.0,908.0,548502.0179661575,0.0,15571072400.887222,3
16,5,mMTC,429.0,429.0,288479.4971601925,0.0,109857988.36116448,2
17,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
17,1,URLLC,881.0,881.0,466140.82221938553,0.0,459065516.66790885,3
17,2,mMTC,455.0,455.0,420777.7362791648,0.0,65907271.80327702,3
17,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
17,4,URLLC,845.0,845.0,548502.0179661575,0.0,15571072400.887222,3
17,5,mMTC,435.0,435.0,288479.4971601925,0.0,109857988.36116448,2
18,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
18,1,URLLC,908.0,908.0,466140.82221938553,0.0,459065516.66790885,3
18,2,mMTC,447.0,447.0,420777.7362791648,0.0,65907271.80327702,3
18,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
18,4,URLLC,905.0,905.0,548502.0179661575,0.0,15571072400.887222,3
18,5,mMTC,458.0,458.0,288479.4971601925,0.0,109857988.36116448,2
19,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
19,1,URLLC,952.0,952.0,466140.82221938553,0.0,459065516.66790885,3
19,2,mMTC,436.0,436.0,420777.7362791648,0.0,65907271.80327702,3
19,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
